;Data;Hora UTC;PRECIPITAO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m2);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREAO HORARIA (gr) ((gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);REGIAO;UF;ESTACAO;CODIGO (WMO);LATITUDE;LONGITUDE;ALTITUDE;DATA DE FUNDACAO
53;2022/06/13;0400 UTC;0.0;913.6;914.0;913.6;;15.8;9.2;16.9;15.8;12.0;9.2;74.0;65.0;65.0;180.0;7.7;3.9;SE;MG;TRES MARIAS;A528;-18.200855;-45.459836;931.01;25/08/06
514;2021/07/29;0900 UTC;0.0;981.2;981.2;980.9;;16.1;13.5;16.5;16.0;13.8;13.3;84.0;83.0;84.0;8.0;0.0;0.0;NE;MA;ALTO PARNAIBA;A223;-9.10833333;-45.93194443;283.69;03/06/08
267;2021/09/21;0400 UTC;;;;;;;;;;;;;;;;;;N;AM;EIRUNEPE;A109;-6.65027777;-69.8686111;121.54;31/08/12
459;2020/08/21;1000 UTC;0.0;978.2;978.2;977.3;15.5;21.2;17.4;21.2;20.2;17.4;16.3;80.0;77.0;79.0;259.0;4.3;3.3;CO;MT;SAO JOSE DO XINGU;A942;-10.48416666;-52.37249999;300.0;19/02/19
517;2020/03/03;0900 UTC;0.0;951.6;951.6;951.3;25.9;23.2;22.0;23.2;23.1;22.0;21.9;93.0;93.0;93.0;194.0;4.0;2.1;NE;PB;CAMPINA GRANDE;A313;-7.225574;-35.904831;546.17;22/12/06
298;2022/01/21;0800 UTC;;;;;;;;;;;;;;;;;;NE;PI;CARACOL;A337;-9.28583333;-43.32444443;515.3;10/11/07
518;2020/05/16;0500 UTC;;;;;;;;;;;;;;;;;;S;SC;RANCHO QUEIMADO;A870;-27.6786111;-49.04194444;881.0;31/05/16
326;2022/02/12;2000 UTC;;;;;;;;;;;;;;;;;;SE;MG;ESPINOSA;A543;-14.91222222;-42.80861111;565.36;14/11/07
755;2020/06/17;2200 UTC;0.0;913.2;913.2;912.8;;18.5;11.5;19.5;18.5;12.7;11.4;66.0;61.0;64.0;101.0;6.0;1.5;CO;GO;SILVANIA;A037;-16.679786;-48.618171;952.0;08/10/10
548;2021/09/23;0100 UTC;;;;;;;;;;;;;;;;;;N;PA;BRAGANCA;A226;-1.04722221;-46.78583333;41.0;11/03/08
140;2020/02/13;1700 UTC;;958.5;959.1;958.3;2362.6;29.6;19.3;30.7;29.3;21.2;18.9;59.0;51.0;54.0;151.0;5.9;3.3;NE;PE;OURICURI;A366;-7.88583333;-40.10277777;457.85;11/08/10
48;2021/10/18;0700 UTC;;974.9;974.9;974.3;;22.3;19.1;22.8;22.3;19.2;19.0;82.0;80.0;82.0;;;;CO;MS;TRES LAGOAS;A704;-20.78333333;-51.71222222;328.94;03/09/01
299;2020/01/23;1500 UTC;0.0;1008.9;1009.3;1008.8;;26.0;;26.2;25.8;;;;;;17.0;11.4;9.6;NE;BA;ABROLHOS;A422;-17.963016;-38.703288;20.93;21/07/08
511;2020/05/20;1600 UTC;0.0;1004.4;1005.7;1004.4;2170.0;27.7;13.6;27.8;26.6;13.8;13.0;44.0;41.0;42.0;38.0;5.6;2.9;S;RS;RIO PARDO;A813;-29.87222221;-52.38194443;106.99;30/09/06
32;2021/12/20;1800 UTC;0.0;963.0;963.4;962.9;1671.6;32.6;16.1;34.0;32.6;16.5;15.4;37.0;34.0;37.0;144.0;8.2;1.6;NE;PB;CABACEIRAS;A348;-7.48333333;-36.28638888;391.96;28/02/08
888;2022/12/05;2200 UTC;;;;;;;;;;;;;;;;;;CO;MS;CASSILANDIA;A742;-19.12249999;-51.72083332;494.72;08/03/08
924;2020/01/16;0200 UTC;0.0;960.2;960.2;959.7;;26.1;14.5;26.3;24.5;15.5;14.4;57.0;48.0;49.0;39.0;3.9;2.1;NE;BA;BRUMADO;A433;-14.181886;-41.672281;473.37;28/04/08
194;2022/04/16;1200 UTC;0.0;1007.4;1007.4;1006.9;1747.1;27.4;24.2;27.6;25.7;24.8;24.1;92.0;83.0;83.0;;;;NE;MA;ZE DOCA;A255;-3.26916666;-45.65111111;45.5;18/09/19
463;2020/01/14;0700 UTC;;978.1;978.1;977.9;;23.9;20.6;24.1;23.8;20.7;20.4;82.0;80.0;82.0;308.0;2.3;0.1;N;TO;PARANA;A010;-12.615;-47.87194443;284.96;04/03/05
55;2022/11/14;1800 UTC;0.2;1001.2;1001.8;1001.2;2873.4;30.7;12.4;31.2;29.9;16.5;12.0;44.0;32.0;33.0;278.0;9.9;3.7;S;RS;CAMPO BOM;A884;-29.674293;-51.064042;23.35;29/11/13
892;2021/08/21;2200 UTC;;;;;;;;;;;;;;;;;;N;AP;MACAPA;A249;0.03499999;-51.08888888;16.62;12/12/13
653;2022/04/02;2200 UTC;0.0;1002.0;1002.4;1002.0;;18.3;13.5;21.1;18.1;13.5;13.1;74.0;61.0;74.0;349.0;0.0;0.0;S;RS;QUARAI;A831;-30.368578;-56.437115;113.05;17/10/07
241;2020/06/05;1600 UTC;0.0;999.2;1000.3;999.2;4376.3;33.1;19.3;33.2;31.4;21.2;18.9;53.0;44.0;44.0;111.0;8.3;3.4;NE;PI;CAMPO MAIOR;A376;-4.86416666;-42.14555555;125.0;23/11/18
795;2020/08/01;1700 UTC;0.0;958.5;959.3;958.5;1975.7;28.2;8.8;28.9;27.1;9.5;7.5;33.0;27.0;30.0;292.0;6.6;2.2;SE;SP;PRADOPOLIS;A747;-21.33833333;-48.11388888;540.41;22/04/08
932;2021/09/12;1500 UTC;0.0;995.1;996.2;995.1;2985.3;30.0;15.2;30.2;28.0;17.1;15.2;49.0;40.0;41.0;71.0;7.2;3.2;SE;MG;SERRA DOS AIMORES;A522;-17.79888888;-40.25;211.97;21/08/06
912;2022/04/24;0500 UTC;;;;;;;;;;;;;;;;;;NE;PE;SERRA TALHADA;A350;-7.95416666;-38.29499999;499.02;09/07/08
270;2020/01/02;1100 UTC;0.0;992.2;992.2;991.3;120.8;22.4;21.0;22.7;22.3;21.2;20.9;92.0;91.0;92.0;93.0;4.1;2.3;NE;MA;ESTREITO;A224;-6.65333333;-47.41833332;182.96;27/02/08
741;2020/12/12;0800 UTC;0.0;913.7;914.1;913.7;;19.1;19.1;20.1;18.9;20.0;18.9;100.0;98.0;100.0;316.0;3.2;1.6;S;SC;RANCHO QUEIMADO;A870;-27.6786111;-49.04194444;881.0;31/05/16
961;2020/07/28;0000 UTC;0.0;1018.1;1018.1;1017.6;0.0;18.8;17.6;20.5;18.5;18.6;17.4;95.0;86.0;92.0;322.0;2.7;1.5;SE;ES;SAO MATEUS;A616;-18.676198;-39.864051;28.66;25/10/06
766;2022/09/14;0500 UTC;0.0;1011.0;1011.5;1011.0;0.0;16.1;14.5;16.2;16.0;15.0;14.5;93.0;91.0;91.0;224.0;10.2;8.3;S;SC;Laguna  - Farol de Santa Marta;A866;-28.60444444;-48.81333333;34.36;01/06/08
605;2020/01/22;2000 UTC;0.0;971.8;972.1;971.8;1385.4;30.9;17.5;31.4;29.9;19.4;16.8;51.0;43.0;45.0;218.0;3.5;0.7;SE;RJ;TRES RIOS;A625;-22.09833333;-43.20833333;295.0;08/06/16
399;2022/05/24;1000 UTC;0.0;915.5;915.5;915.1;16.0;7.5;7.0;8.6;7.5;8.1;7.0;97.0;96.0;96.0;145.0;3.2;1.6;SE;MG;SAO JOAO DEL REI;A514;-21.106502;-44.250928;929.88;09/06/06
443;2022/11/30;0600 UTC;0.0;899.8;900.4;899.8;;16.0;15.5;16.1;16.0;15.5;15.4;96.0;95.0;96.0;111.0;7.2;4.3;S;SC;CAMPOS NOVOS;A898;-27.3886111;-51.21583333;963.0;15/02/19
715;2022/02/16;0700 UTC;;;;;;;;;;;;;;;;;;CO;MT;PARANATINGA;A915;-14.42138888;-54.0361111;476.91;19/12/06
109;2022/09/17;0100 UTC;0.0;1025.4;1025.4;1025.3;;13.8;10.8;15.4;13.8;11.8;10.8;82.0;79.0;82.0;212.0;2.3;0.8;S;SC;ITAJAI;A868;-26.95083333;-48.76194444;9.76;24/06/10
259;2020/05/03;0200 UTC;0.0;959.8;960.0;959.8;;19.4;17.8;20.4;19.3;18.1;17.3;90.0;86.0;90.0;341.0;3.1;0.0;SE;MG;SALINAS;A552;-16.16027777;-42.31027777;487.14;14/09/07
953;2020/06/17;2300 UTC;0.0;959.8;960.6;959.8;;18.9;15.7;19.6;18.9;16.1;15.7;82.0;80.0;82.0;28.0;6.7;3.3;S;RS;TUPANCIRETA;A886;-29.0893814;-53.82665025;462.0;11/08/16
481;2020/05/21;1400 UTC;0.0;974.1;974.3;974.1;2295.1;30.1;19.4;30.7;29.3;19.9;19.0;56.0;51.0;53.0;281.0;7.8;3.9;CO;MT;GAUCHA DO NORTE;A930;-13.18472221;-53.2575;375.87;04/06/08
353;2022/09/02;0900 UTC;0.0;962.4;962.4;961.4;;14.5;9.8;15.0;14.1;10.1;9.2;76.0;71.0;73.0;316.0;0.0;0.0;NE;BA;BARREIRAS;A402;-12.12472221;-45.02694443;474.17;20/12/01
683;2022/09/21;1000 UTC;0.0;965.2;965.2;964.6;609.9;19.5;18.4;19.5;15.3;18.5;14.9;97.0;94.0;94.0;59.0;1.3;0.6;NE;BA;JACOBINA;A440;-11.205;-40.465;440.78;01/05/08
598;2021/11/23;1300 UTC;0.0;948.2;948.4;948.2;2780.5;32.3;20.0;32.5;29.8;20.7;18.8;58.0;45.0;48.0;203.0;4.6;1.2;SE;MG;CONCEICAO DAS ALAGOAS;A520;-19.98586;-48.151574;572.54;18/07/06
761;2022/07/01;0200 UTC;0.0;991.8;991.8;991.5;;19.3;19.2;19.8;19.2;19.6;19.1;100.0;99.0;100.0;77.0;0.0;0.0;N;AC;PARQUE ESTADUAL CHANDLESS;A102;-9.35833333;-69.92638888;184.51;05/08/08
792;2021/05/25;0300 UTC;0.0;990.3;990.3;990.1;;10.2;5.9;10.9;10.1;6.0;5.9;75.0;71.0;75.0;38.0;4.4;2.5;S;RS;SAO LUIZ GONZAGA;A852;-28.41722221;-54.9625;245.5;25/07/07
231;2022/09/08;1200 UTC;0.0;946.2;946.2;945.5;1797.6;23.4;12.5;23.4;21.0;12.6;11.8;56.0;50.0;50.0;92.0;8.5;2.9;SE;MG;UNAI;A542;-16.55416666;-46.88194443;640.85;16/06/07
776;2022/04/10;1900 UTC;;;;;;;;;;;;;;;;;;SE;SP;BARRETOS;A748;-20.55916666;-48.54499999;534.36;19/06/10
250;2022/07/06;0700 UTC;0.0;973.3;973.4;973.2;;19.7;15.9;20.0;19.7;15.9;15.5;79.0;75.0;79.0;141.0;8.6;4.2;NE;PE;PETROLINA;A307;-9.38833333;-40.52333332;372.72;21/02/03
380;2022/04/03;1900 UTC;0.0;925.9;926.2;925.9;1251.2;29.0;17.8;29.1;27.2;18.3;17.0;58.0;49.0;51.0;63.0;5.6;2.2;SE;MG;PASSOS;A516;-20.745237;-46.633916;781.7;16/07/06
378;2022/08/08;0500 UTC;0.0;932.1;932.5;932.0;;17.5;12.7;17.8;17.4;12.8;12.5;74.0;71.0;73.0;20.0;2.8;0.9;SE;SP;CASA BRANCA;A738;-21.78055554;-47.07527777;734.15;25/06/07
641;2020/04/08;2100 UTC;0.0;993.6;993.6;993.2;18.3;23.9;21.0;25.1;23.9;21.0;20.8;84.0;78.0;84.0;137.0;9.3;5.5;SE;ES;NOVA VENECIA;A623;-18.69527777;-40.39055555;156.02;22/06/08
551;2021/08/08;1500 UTC;0.0;1021.2;1022.4;1021.2;1904.1;22.4;19.2;22.4;19.7;19.3;18.1;91.0;81.0;82.0;295.0;3.5;0.9;SE;ES;VILA VELHA;A634;-20.46694443;-40.40388888;25.0;15/02/17
282;2022/11/07;0500 UTC;0.0;949.4;950.0;949.4;;18.7;12.3;19.3;18.7;12.5;12.3;67.0;64.0;67.0;146.0;4.6;2.0;SE;MG;CAMPINA VERDE;A519;-19.53921;-49.518133;559.07;15/07/06
976;2022/03/26;0600 UTC;;;;;;;;;;;;;;;;;;S;PR;CLEVELANDIA;A876;-26.41722221;-52.3486111;966.06;15/05/08
600;2020/12/11;2200 UTC;;;;;;;;;;;;;;;;;;NE;PE;SURUBIM;A328;-7.83972221;-35.80111111;421.44;09/03/08
127;2021/12/12;0000 UTC;;;;;;;;;;;;;;;;;;N;AM;APUI;A113;-7.20555555;-59.8886111;156.97;19/07/08
296;2021/02/04;0000 UTC;;;;;;;;;;;;;;;;;;NE;MA;BALSAS;A204;-7.45555555;-46.02749999;271.03;26/10/07
468;2021/04/10;0800 UTC;;;;;;;;;;;;;;;;;;SE;SP;BARRA BONITA;A741;-22.4711111;-48.5575;533.68;24/04/08
675;2020/05/04;0900 UTC;;;;;;;;;;;;;;;;;;NE;BA;SANTA RITA DE CASSIA;A415;-11.00277777;-44.52499999;450.01;28/05/07
139;2022/09/20;1200 UTC;0.0;973.2;973.2;972.5;1018.4;28.7;19.7;28.9;24.6;20.2;19.6;76.0;58.0;58.0;332.0;4.1;1.9;CO;MT;S.J. DO RIO CLARO;A903;-13.45388888;-56.67722221;339.59;25/02/03
445;2020/09/10;1200 UTC;0.0;959.8;960.0;959.8;1809.6;27.0;19.8;27.3;24.9;20.3;19.4;74.0;65.0;65.0;112.0;8.9;4.6;NE;PI;CARACOL;A337;-9.28583333;-43.32444443;515.3;10/11/07
177;2022/07/05;0200 UTC;;;;;;;;;;;;;;;;;;SE;MG;BURITIS;A544;-15.52416666;-46.43555555;894.0;19/06/07
252;2022/12/01;1100 UTC;;990.2;990.2;989.6;185.8;23.8;22.2;23.8;23.0;22.2;21.4;91.0;91.0;91.0;82.0;1.6;0.0;NE;MA;COLINAS;A222;-6.03305554;-44.23333333;175.37;03/06/08
998;2022/06/15;0200 UTC;0.0;925.1;925.5;925.1;;12.7;6.3;13.8;12.6;6.4;5.9;65.0;60.0;65.0;101.0;0.0;0.0;SE;SP;SAO CARLOS;A711;-21.980353;-47.883927;859.29;04/09/06
113;2022/03/17;2100 UTC;0.0;925.9;925.9;925.4;;25.2;20.1;28.0;25.2;20.1;19.1;73.0;59.0;73.0;156.0;4.5;1.7;SE;SP;BARUERI;A755;-23.52388888;-46.86944443;776.5;29/03/11
122;2022/05/11;0100 UTC;;;;;;;;;;;;;;;;;;N;PA;MEDICILANDIA;A209;-3.51083333;-52.96333333;251.68;17/02/08
491;2021/11/19;2300 UTC;0.0;1008.4;1008.4;1007.8;;19.6;19.5;20.2;19.6;19.7;19.5;100.0;97.0;100.0;5.0;0.0;0.0;S;PR;MORRETES;A873;-25.508935;-48.808681;50.31;13/03/08
696;2021/05/04;0700 UTC;;;;;;;;;;;;;;;;;;NE;BA;FORMOSA DO RIO PRETO;A452;-11.05222222;-45.20083333;488.0;02/06/16
197;2020/07/09;0500 UTC;0.0;982.4;983.0;982.4;;16.8;13.7;17.1;15.8;13.9;13.3;86.0;81.0;82.0;163.0;0.0;0.0;N;TO;PARANA;A010;-12.615;-47.87194443;284.96;04/03/05
132;2020/05/31;0600 UTC;;933.1;933.2;933.1;;11.4;7.3;15.4;11.4;8.3;7.2;76.0;63.0;76.0;350.0;0.0;0.0;SE;SP;ITAPEVA;A714;-23.98194443;-48.88583333;743.33;25/07/06
314;2020/09/14;1400 UTC;;;;;;;;;;;;;;;;;;NE;MA;BALSAS;A204;-7.455609;-46.027546;271.03;26/10/07
668;2022/10/13;0100 UTC;;;;;;;;;;;;;;;;;;NE;BA;SALVADOR (RADIO FAROL);A456;-12.80833333;-38.49583333;31.0;10/03/18
357;2020/04/11;0200 UTC;0.0;919.4;919.6;919.4;0.0;13.7;11.0;14.7;13.3;12.1;10.7;90.0;81.0;84.0;360.0;1.1;0.6;SE;MG;SAO SEBASTIAO DO PARAISO;A561;-20.909892;-47.114259;845.0;17/08/15
334;2020/03/26;1600 UTC;0.0;926.4;927.4;926.4;2672.1;25.4;15.5;27.7;24.8;16.9;14.5;57.0;46.0;54.0;;;;SE;MG;PASSOS;A516;-20.745237;-46.633916;781.7;16/07/06
123;2022/01/17;1000 UTC;;;;;;;;;;;;;;;;;;SE;SP;AVARE;A725;-23.10166666;-48.9411111;776.36;22/09/06
63;2020/03/19;0700 UTC;;;;;;;;;;;;;;;;;;N;AP;ITAUBAL;A251;0.567833;-50.823528;21.0;24/08/17
677;2022/10/21;1000 UTC;0.0;898.0;898.0;897.1;362.8;21.1;14.4;21.1;17.2;14.5;12.0;73.0;66.0;66.0;149.0;1.6;0.6;CO;DF;AGUAS EMENDADAS;A045;-15.596491;-47.625801;1030.36;03/10/08
354;2020/04/05;1000 UTC;0.0;868.0;868.0;867.5;89.1;19.0;18.1;19.2;19.0;18.2;18.0;94.0;94.0;94.0;29.0;4.0;2.2;SE;MG;DIAMANTINA;A537;-18.231052;-43.648269;1359.25;05/06/07
984;2021/06/13;0500 UTC;0.0;882.3;882.4;882.3;;6.8;3.1;7.0;5.8;3.4;2.9;83.0;76.0;77.0;;;;S;RS;SAO JOSE DOS AUSENTES;A829;-28.7486111;-50.05777777;1228.59;26/10/06
227;2020/10/08;1100 UTC;;;;;;;;;;;;;;;;;;NE;CE;JAGUARIBE;A358;-5.90555555;-38.62777777;149.31;10/09/08
372;2022/02/21;0300 UTC;;;;;;;;;;;;;;;;;;CO;MT;SAO JOSE DO XINGU;A942;-10.48416666;-52.37249999;300.0;19/02/19
45;2022/11/09;0900 UTC;0.0;877.6;877.6;877.2;17.6;17.4;14.8;17.4;16.7;14.9;14.5;89.0;84.0;85.0;52.0;3.3;0.1;CO;GO;ALTO PARAISO DE GOIAS;A024;-14.13305554;-47.52333332;1264.7;04/06/07
297;2021/07/02;0500 UTC;0.0;942.7;943.0;942.7;;13.9;5.8;14.4;13.9;6.2;5.7;58.0;56.0;58.0;262.0;1.2;0.0;CO;GO;PARAUNA;A027;-16.962536;-50.42545;678.74;29/03/08
415;2020/11/25;0400 UTC;;832.2;832.2;831.6;560.0;-18.6;-21.5;-18.5;-18.6;-21.4;-21.6;78.0;77.0;78.0;136.0;10.0;8.5;SE;SP;CRIOSFERA;C891;-84.0;-79.49416666;1285.0;09/01/12
505;2022/01/27;0000 UTC;0.2;940.7;941.0;940.5;;20.0;18.8;20.6;20.0;19.2;18.8;92.0;91.0;92.0;127.0;2.1;0.2;SE;MG;UNAI;A542;-16.55416666;-46.88194443;640.85;16/06/07
910;2021/09/28;1400 UTC;;;;;;;;;;;;;;;;;;CO;MS;BATAGUASSU;A759;-21.75;-52.47138888;392.13;21/03/13
731;2020/10/20;1100 UTC;0.0;964.1;964.1;963.4;719.3;22.4;19.4;22.6;20.4;19.7;18.7;90.0;82.0;83.0;236.0;7.0;4.3;CO;MS;AMAMBAI;A750;-23.0025;-55.32944443;433.59;11/06/08
794;2022/10/26;2000 UTC;0.0;1005.0;1005.0;1004.3;348.9;23.7;21.8;25.8;23.7;22.2;21.2;89.0;79.0;89.0;71.0;5.9;0.7;NE;BA;UNA;A437;-15.28027777;-39.09138888;74.08;25/06/08
375;2021/06/10;0700 UTC;0.0;1009.8;1009.8;1009.4;;22.4;22.1;22.5;22.3;22.2;21.9;99.0;97.0;98.0;;;;NE;BA;SALVADOR (RADIO FAROL);A456;-12.80833333;-38.49583333;31.0;10/03/18
248;2020/04/30;2000 UTC;5.4;1007.1;1007.2;1006.7;624.9;25.4;24.1;30.7;25.3;25.4;23.5;93.0;72.0;93.0;99.0;6.1;0.0;N;AM;MAUES;A122;-3.39888888;-57.67388888;25.49;22/04/08
978;2022/12/01;1400 UTC;0.0;1006.7;1007.2;1006.7;2097.7;27.7;24.0;28.1;26.2;25.0;23.5;91.0;79.0;81.0;71.0;4.2;2.4;SE;ES;SAO MATEUS;A616;-18.6761111;-39.86416666;28.66;25/10/06
606;2020/12/31;0800 UTC;0.0;910.3;910.3;909.9;;18.3;15.1;19.2;18.2;15.6;14.8;82.0;78.0;82.0;92.0;1.2;0.1;SE;MG;TRES MARIAS;A528;-18.200855;-45.459836;931.01;25/08/06
190;2022/05/29;0500 UTC;0.0;945.6;945.9;945.6;;21.8;18.0;23.0;21.6;18.0;17.3;79.0;73.0;79.0;;;;N;RO;VILHENA;A938;-12.73499999;-60.15777777;583.3;26/08/08
753;2020/06/11;0800 UTC;0.0;1007.2;1007.3;1006.7;0.0;24.1;23.3;24.2;23.7;23.5;23.1;97.0;95.0;95.0;;;;NE;MA;ZE DOCA;A255;-3.26916666;-45.65111111;45.5;18/09/19
439;2021/02/10;0100 UTC;;;;;;;;;;;;;;;;;;CO;DF;AGUAS EMENDADAS;A045;-15.596491;-47.625801;1030.36;03/10/08
698;2020/12/20;1000 UTC;;;;;;;;;;;;;;;;;;SE;SP;ITUVERAVA;A753;-20.35972222;-47.77527777;610.58;17/07/08
841;2020/07/22;0000 UTC;0.0;984.3;984.3;984.0;;22.4;15.3;23.2;22.2;15.3;14.8;64.0;60.0;64.0;190.0;0.0;0.0;N;TO;PEIXE;A018;-12.015377;-48.544517;250.87;01/12/06
665;2020/10/18;0600 UTC;;;;;;;;;;;;;;;;;;CO;MT;APIACAS;A910;-9.56333333;-57.3936111;217.75;24/10/06
821;2021/08/29;1700 UTC;0.0;1021.3;1022.1;1021.2;798.0;20.3;14.0;20.9;20.3;14.1;13.4;67.0;63.0;67.0;57.0;5.6;2.0;S;SC;URUSSANGA;A814;-28.53249999;-49.31527777;40.56;29/05/08
574;2020/04/03;2100 UTC;0.2;1005.5;1005.5;1005.3;6.1;24.5;23.7;24.5;24.4;23.8;23.6;96.0;95.0;95.0;236.0;2.9;0.0;N;PA;TOME ACU;A213;-2.59249999;-48.36055555;42.95;14/10/07
384;2022/10/12;0700 UTC;;;;;;;;;;;;;;;;;;NE;RN;CAICO;A316;-6.46749999;-37.08499999;171.26;07/01/07
867;2022/01/03;1700 UTC;0.0;911.2;912.3;911.2;2736.3;26.0;18.6;26.8;25.6;20.1;18.1;69.0;61.0;64.0;341.0;8.8;4.5;SE;MG;FORMIGA;A524;-20.455;-45.45388888;878.14;17/08/06
387;2020/10/16;0600 UTC;0.0;949.3;949.4;948.9;;24.5;11.5;25.3;24.5;11.5;6.0;44.0;29.0;44.0;109.0;7.0;4.0;NE;BA;GUANAMBI;A426;-14.20805555;-42.74972221;552.23;24/04/08
