;Data;Hora UTC;PRECIPITAO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m2);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREAO HORARIA (gr) ((gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);REGIAO;UF;ESTACAO;CODIGO (WMO);LATITUDE;LONGITUDE;ALTITUDE;DATA DE FUNDACAO
464;2021/06/09;0400 UTC;0.0;976.9;977.1;976.8;;17.9;17.6;18.2;17.7;17.9;17.4;98.0;98.0;98.0;254.0;2.0;0.7;CO;MS;BONITO;S704;-21.24666666;-56.45055555;329.0;06/08/18
295;2020/06/28;2300 UTC;;;;;;;;;;;;;;;;;;CO;MS;CAMAPUA;S707;-19.587528;-54.030083;540.0;19/02/18
988;2021/02/04;0700 UTC;0.0;1006.6;1006.6;1006.4;;22.4;21.3;23.6;22.4;21.5;20.8;93.0;86.0;93.0;325.0;1.7;0.1;SE;RJ;CAMBUCI;A604;-21.58749999;-41.95833333;46.0;20/11/02
424;2022/08/08;1500 UTC;0.0;1005.1;1006.3;1005.1;3603.2;31.4;16.1;31.8;30.6;17.9;15.9;45.0;39.0;40.0;108.0;9.0;4.4;NE;CE;ACARAU;A360;-3.1211111;-40.08722221;67.15;22/04/09
640;2022/08/06;1000 UTC;0.0;1017.9;1017.9;1017.2;22.0;18.7;17.3;18.8;18.6;17.3;17.0;92.0;90.0;92.0;278.0;1.2;0.0;SE;RJ;RIO DE JANEIRO - JACAREPAGUA;A636;-22.93999999;-43.40277777;20.0;10/08/17
125;2022/06/25;0600 UTC;;;;;;;;;;;;;;;;;;N;AM;NOVO ARIPUANA;A144;-8.0911111;-60.38055554;45.0;18/07/19
118;2022/04/10;2300 UTC;;;;;;;;;;;;;;;;;;N;TO;CAMPOS LINDOS;A043;-8.15472222;-46.63944444;426.56;29/10/12
633;2022/04/04;1900 UTC;0.0;919.2;919.5;919.2;1856.7;30.7;12.2;31.8;30.1;12.4;11.2;33.0;30.0;32.0;182.0;5.3;1.1;CO;GO;POSSE;A017;-14.08916666;-46.36638888;830.0;18/04/07
181;2021/07/28;1100 UTC;;;;;;;;;;;;;;;;;;CO;MS;BONITO;S704;-21.24666666;-56.45055555;329.0;06/08/18
709;2021/12/11;1800 UTC;;987.0;987.7;987.0;937.3;30.6;22.3;31.2;30.6;23.4;22.0;64.0;59.0;61.0;108.0;3.8;1.7;NE;MA;BARRA DO CORDA;A221;-5.50666666;-45.23694444;154.19;06/03/08
138;2021/03/11;0300 UTC;;;;;;;;;;;;;;;;;;N;TO;PIUM;A051;-10.47694443;-49.62944443;161.0;06/04/16
487;2022/10/21;1400 UTC;;;;;;;;;;;;;;;;;;NE;PI;SAO JOAO DO PIAUI;A331;-8.36444444;-42.2525;231.0;26/08/07
176;2021/08/10;1000 UTC;0.0;1000.0;1000.0;999.4;263.9;21.0;17.1;21.1;20.1;17.2;16.2;79.0;78.0;78.0;94.0;1.8;1.0;SE;MG;ALMENARA;A508;-16.166773;-40.687756;189.11;15/12/02
452;2020/04/16;2200 UTC;;;;;;;;;;;;;;;;;;N;AM;HUMAITA;A112;-7.55252;-63.071343;53.56;25/04/08
687;2021/03/20;0300 UTC;0.0;907.8;908.0;907.8;;17.5;;18.0;17.5;;-3.4;;;;76.0;2.4;0.2;SE;ES;SANTA TERESA;A613;-19.988388;-40.579572;975.92;09/08/07
202;2022/07/06;0500 UTC;0.0;1016.5;1016.9;1016.5;;14.9;13.6;15.3;14.9;13.9;13.5;92.0;91.0;92.0;261.0;1.4;0.0;SE;RJ;RIO DE JANEIRO - JACAREPAGUA;A636;-22.93999999;-43.40277777;20.0;10/08/17
757;2021/12/28;0500 UTC;0.0;983.0;983.8;983.0;;23.2;22.1;24.3;23.2;23.9;22.1;98.0;94.0;94.0;343.0;6.6;2.2;N;PA;XINGUARA;A247;-7.110518;-49.926072;245.0;11/09/16
