Data;Hora UTC;PRECIPITAO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m2);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREAO HORARIA (gr) ((gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);REGIAO;UF;ESTACAO;CODIGO (WMO);LATITUDE;LONGITUDE;ALTITUDE;DATA DE FUNDACAO
2020/04/20;0000 UTC;;;;;;;;;;;;;;;;;;SE;MG;ITUIUTABA;A512;-18.95277777;-49.52499999;540.08;12/05/06
2020/01/23;1900 UTC;;;;;;;;;;;;;;;;;;SE;RJ;VALENCA;A611;-22.35805555;-43.69555555;370;27/09/06
2020/06/15;0600 UTC;;;;;;;;;;;;;;;;;;SE;SP;SAO SEBASTIAO;A767;-23.81083333;-45.4025;24;25/10/17
2021/03/05;1000 UTC;.2;870.4;870.4;869.9;;16;15.8;16.2;16;16;15.8;99.0;99.0;99.0;;;;S;RS;SAO JOSE DOS AUSENTES;A829;-28.7486111;-50.05777777;1228.59;26/10/06
2020/08/10;1600 UTC;;;;;;;;;;;;;;;;;;SE;SP;BEBDOURO;A764;-20.94916666;-48.48999999;790;27/10/16
2020/09/04;0700 UTC;0;988.2;988.4;988.2;;24.9;18.7;25.3;24.9;19.3;18.4;71.0;66.0;68;227.0;.9;.3;N;RO;CACOAL;A939;-11.445837;-61.434146;183.53;20/07/08
2022/07/28;2100 UTC;0;958.2;958.3;958.1;265.3;21.3;11.3;24.8;21.3;11.5;11.1;53.0;43.0;53;78.0;2.6;0;SE;MG;TIMOTEO;A511;-19.57388888;-42.62249999;493.42;22/02/06
2021/04/02;2000 UTC;;;;;;;;;;;;;;;;;;S;PR;DOIS VIZINHOS;A843;-25.69916666;-53.09527777;545.95;29/03/07
2021/03/30;1600 UTC;0;897.3;898.1;897.3;3808.3;31.1;;31.9;29.2;;;43.0;34.0;;10.0;5.4;2.6;CO;DF;PARANOA (COOPA-DF);A047;-16.012222;-47.557417;1043;07/02/17
2020/06/30;1200 UTC;0;996.9;996.9;996;713.5;23.8;18.9;23.9;22.1;19.1;18.3;79.0;74.0;74.0;94.0;0;0;CO;MS;CORUMBA;A724;-18.99667;-57.6375;111.73;26/10/06
2020/06/22;2300 UTC;;;;;;;;;;;;;;;;;;N;AC;PORTO WALTER;A136;-8.26722221;-72.74777777;205.35;29/10/09
2020/03/29;1900 UTC;0;1015.7;1016.3;1015.6;884.3;27;19.7;27.2;26.7;20.7;19.7;69.0;64.0;65.0;1.0;4.9;1.6;S;SC;FLORIANOPOLIS;A806;-27.60253;-48.620096;4.87;22/01/03
2020/04/13;0500 UTC;;993.4;993.7;993.4;0;23.2;22.5;23.3;23.1;22.7;22.4;97.0;96.0;96;309.0;1.9;.7;NE;PE;PALMARES;A357;-8.66666666;-35.56805554;164.01;04/09/08
2022/09/03;0600 UTC;;;;;;;;;;;;;;;;;;N;PA;MINA DO PALITO;A246;-6.31999999;-55.78777777;259.88;28/09/10
2020/06/16;1000 UTC;0;911;911;910.2;3.3;15.6;13.8;15.6;15.3;13.9;13.7;91.0;89.0;89.0;;;;SE;MG;OLIVEIRA;A570;-20.715;-44.86444444;1025;19/10/17
2022/04/14;1800 UTC;8.4;1007.4;1008.2;1007.4;279.5;24.2;;26.6;23.8;;;;;;113.0;5.6;.5;N;AP;OIAPOQUE;A242;3.81361111;-51.8625;15.14;11/09/08
2022/04/21;1600 UTC;0;1005.1;1005.8;1005.1;3211;31;21.9;31.6;30.4;22.9;21.2;63.0;56.0;58.0;131.0;5.2;1.2;NE;PB;JOAO PESSOA;A320;-7.16527777;-34.81555555;33.5;21/07/07
2021/08/08;0600 UTC;;;;;;;;;;;;;;;;;;NE;MA;FAROL de SANTANA;A217;-2.27083332;-43.62416666;9.87;28/11/08
2020/10/28;1100 UTC;;;;;;;;;;;;;;;;;;CO;MT;SINOP;A917;-11.98222221;-55.56611111;366.57;29/10/06
2022/02/23;0000 UTC;0;919.8;919.9;918.9;;20.5;19.3;20.9;20.2;19.4;18.5;93.0;88.0;93.0;93.0;5.7;3.2;S;SC;RIO NEGRINHO;A862;-26.2486111;-49.57416666;800;22/03/08
2020/02/13;0800 UTC;0;983.3;983.3;982.8;;21;17.2;21.7;21;17.2;17.2;79.0;76.0;79.0;62.0;7.5;3.6;S;RS;SAO LUIZ GONZAGA;A852;-28.417113;-54.962403;245.5;25/07/07
2021/04/11;1700 UTC;;;;;;;;;;;;;;;;;;SE;MG;ITUIUTABA;A512;-18.95277777;-49.52499999;540.08;12/05/06
2022/11/08;0300 UTC;;;;;;;;;;;;;;;;;;NE;BA;ABROLHOS;A422;-17.96305555;-38.70333333;20.93;21/07/08
2020/05/10;2100 UTC;0;992.1;992.1;991.8;114.7;27.5;19.3;29.5;27.5;19.4;18.6;61.0;52.0;61.0;149.0;4.2;1.3;NE;MA;COLINAS;A222;-6.03305554;-44.23333333;175.37;03/06/08
2021/02/11;0900 UTC;;;;;;;;;;;;;;;;;;N;AM;HUMAITA;A112;-7.5525;-63.07138888;53.56;25/04/08
2022/05/12;1500 UTC;0;919.2;919.9;919.2;2263.4;26.5;10.7;27.3;24.4;12.6;10.7;45.0;37.0;37.0;306.0;3.6;1.9;SE;MG;GUANHAES;A533;-18.78694444;-42.94305555;852.68;02/06/07
2020/03/28;0600 UTC;0;1016.1;1016.4;1016.1;;21;19.9;21.5;21;20.4;19.9;94.0;93.0;93.0;257.0;4;1.7;SE;RJ;PARATI;A619;-23.2236111;-44.72694443;3;19/11/06
2022/07/02;0100 UTC;;;;;;;;;;;;;;;;;;NE;BA;DELFINO;A443;-10.455;-41.20694444;646.24;15/07/08
2022/10/11;1100 UTC;;;;;;;;;;;;;;;;;;N;PA;CAMETA;A236;-2.23972221;-49.49972221;9.92;20/06/08
2021/09/16;1300 UTC;;;;;;;;;;;;;;;;;;CO;MS;CAARAPO;S706;-22.657056;-54.819306;456;03/03/18
2022/06/14;1100 UTC;0;985;985;984.1;487.3;23.2;18.8;23.3;19.8;19.1;18.1;90.0;76.0;76.0;89.0;1.8;1.1;N;TO;PEIXE;A018;-12.015377;-48.544517;250.87;01/12/06
2021/04/01;0200 UTC;0;951;951.2;951;;22.4;18.3;22.9;22.1;18.7;18;80.0;76.0;77.0;39.0;2.1;0;CO;GO;GOIAS;A014;-15.93972221;-50.14138888;512.86;18/07/07
2020/07/21;1600 UTC;0;920.6;921.2;920.5;3063;21.1;15.3;22.9;20.3;16.9;14.7;76.0;64.0;69.0;136.0;7.5;3.7;NE;BA;VITORIA DA CONQUISTA;A414;-14.886428;-40.80133;879.38;01/06/07
2022/09/17;0100 UTC;0;1025.4;1025.4;1025.3;;13.8;10.8;15.4;13.8;11.8;10.8;82.0;79.0;82.0;212.0;2.3;.8;S;SC;ITAJAI;A868;-26.95083333;-48.76194444;9.76;24/06/10
2022/09/06;0400 UTC;0;929.2;929.8;929.2;;12.1;10.8;12.4;11.9;11;10.7;94.0;89.0;92.0;244.0;5;3.3;S;SC;DIONISIO CERQUEIRA;A848;-26.286562;-53.633114;807.54;31/05/08
2020/09/07;2300 UTC;;;;;;;;;;;;;;;;;;N;AC;CRUZEIRO DO SUL;A108;-7.61083333;-72.68138888;220;14/05/15
2020/06/21;1300 UTC;.8;1009.1;1009.1;1008.2;959.7;25.2;23.4;28.6;24.8;24.6;22.4;90.0;76.0;90.0;120.0;11.9;2;N;PA;CASTANHAL;A202;-1.30083333;-47.94805555;47.13;24/01/03
2022/03/17;2100 UTC;0;925.9;925.9;925.4;;25.2;20.1;28;25.2;20.1;19.1;73.0;59.0;73.0;156.0;4.5;1.7;SE;SP;BARUERI;A755;-23.52388888;-46.86944443;776.5;29/03/11
2020/10/18;1500 UTC;0;967.2;967.9;967.2;3642.7;28;13.1;28.2;26;13.5;12.1;44.0;38.0;40.0;169.0;7.5;2.3;S;PR;PLANALTO;A855;-25.721863;-53.74792;399.1;07/11/07
2020/10/09;0900 UTC;0;912;912;911.5;3.2;26.2;9.7;26.6;26.1;10.3;9.7;36.0;35.0;36;57.0;3.3;1.2;CO;GO;CATALAO;A034;-18.154779;-47.927614;900.72;31/01/08
2020/05/17;0400 UTC;0;1016.5;1017;1016.5;;19.8;18.3;20;19.7;18.5;18.2;91.0;91.0;91.0;27.0;2.8;1.8;SE;RJ;RIO DE JANEIRO-MARAMBAIA;A602;-23.05027777;-43.59555555;12;08/11/02
2021/06/05;1000 UTC;0;938.7;938.7;937.8;23.9;16.9;11.9;17.3;16.7;12;11.6;73.0;70.0;72.0;;;;SE;MG;PARACATU;A571;-17.24444444;-46.88166666;705;16/03/18
2022/04/10;2300 UTC;;;;;;;;;;;;;;;;;;N;TO;CAMPOS LINDOS;A043;-8.15472222;-46.63944444;426.56;29/10/12
2021/11/12;2200 UTC;;;;;;;;;;;;;;;;;;SE;SP;LINS;A727;-21.66611111;-49.73472221;460.65;20/09/06
2020/02/29;2000 UTC;0;1007.7;1008;1007.6;253.9;29.2;22;29.6;28.9;22.1;20.6;66.0;58.0;65.0;55.0;4;1.1;NE;CE;FORTALEZA;A305;-3.815701;-38.537792;29.55;18/02/03
2020/02/17;1200 UTC;;953.3;953.4;953.2;1634.3;26;21.6;26;23.4;21.7;20.4;84.0;74.0;77.0;337.0;4.2;2.2;SE;SP;ARIRANHA;A736;-21.13305554;-48.84055555;525.44;13/11/07
2022/05/11;0100 UTC;;;;;;;;;;;;;;;;;;N;PA;MEDICILANDIA;A209;-3.51083333;-52.96333333;251.68;17/02/08
2022/01/17;1000 UTC;;;;;;;;;;;;;;;;;;SE;SP;AVARE;A725;-23.10166666;-48.9411111;776.36;22/09/06
2021/04/18;0200 UTC;0;876.7;876.7;876.4;0;17.5;;18.1;16.9;;;;;;42.0;.6;0;CO;GO;ALTO PARAISO DE GOIAS;A024;-14.13305554;-47.52333332;1264.7;04/06/07
2022/06/25;0600 UTC;;;;;;;;;;;;;;;;;;N;AM;NOVO ARIPUANA;A144;-8.0911111;-60.38055554;45;18/07/19
2020/04/12;1300 UTC;0;932;932;931.7;1627.1;27.5;15.4;27.9;26.1;16.7;15.4;54.0;48.0;48.0;345.0;4;1.8;CO;GO;MORRINHOS;A003;-17.745066;-49.101698;751.09;25/05/01
2021/12/12;0000 UTC;;;;;;;;;;;;;;;;;;N;AM;APUI;A113;-7.20555555;-59.8886111;156.97;19/07/08
2021/11/07;0300 UTC;;;;;;;;;;;;;;;;;;NE;RN;APODI;A340;-5.62666666;-37.815;131.41;14/11/07
2021/09/29;0100 UTC;0;920;920;919.5;;21.4;13;22.9;21.4;13;12.8;59.0;53.0;59.0;85.0;4.1;2.6;SE;MG;GUANHAES;A533;-18.78694444;-42.94305555;852.68;02/06/07
2021/07/05;0400 UTC;;;;;;;;;;;;;;;;;;NE;PI;PICOS;A343;-7.0711111;-41.40416666;232.91;12/12/08
2021/01/04;0100 UTC;0;1006.8;1007;1006.8;;26.9;22.3;27.1;26.8;22.4;22;76.0;74.0;76.0;121.0;4.2;1.1;NE;PB;JOAO PESSOA;A320;-7.16527777;-34.81555555;33.5;21/07/07
2020/05/31;0600 UTC;;933.1;933.2;933.1;;11.4;7.3;15.4;11.4;8.3;7.2;76.0;63.0;76.0;350.0;0;0;SE;SP;ITAPEVA;A714;-23.98194443;-48.88583333;743.33;25/07/06
2022/04/18;2200 UTC;0;947.7;947.7;947.2;;21.2;17.4;23.3;21.2;17.8;16.9;79.0;69.0;79.0;136.0;.8;.1;SE;MG;CARATINGA;A554;-19.735757;-42.137146;609.25;24/05/07
2022/06/17;0800 UTC;0;992.1;992.2;991.6;0;13.7;13.2;13.7;13.7;13.2;13.2;97.0;97.0;97.0;169.0;4.2;.3;S;RS;QUARAI;A831;-30.368578;-56.437115;113.05;17/10/07
2020/09/05;0200 UTC;;;;;;;;;;;;;;;;;;CO;MT;COTRIGUACU;A919;-9.906296;-58.572235;265;28/05/07
2022/10/03;1000 UTC;0;994.2;994.2;993.4;328.4;24.4;20.1;24.5;23.9;21.7;19.9;88.0;76.0;77.0;78.0;5.1;2.7;NE;CE;QUIXADA;A369;-4.97888888;-39.05722222;193;20/03/18
2021/03/03;0700 UTC;0;964.7;964.7;964.6;;19.3;17.8;20.5;19.1;18.6;17.6;93.0;89.0;92.0;274.0;1.3;.8;SE;RJ;RESENDE;A609;-22.45138888;-44.44499999;438.83;29/09/06
2021/03/11;0300 UTC;;;;;;;;;;;;;;;;;;N;TO;PIUM;A051;-10.47694443;-49.62944443;161;06/04/16
2022/09/20;1200 UTC;0;973.2;973.2;972.5;1018.4;28.7;19.7;28.9;24.6;20.2;19.6;76.0;58.0;58.0;332.0;4.1;1.9;CO;MT;S.J. DO RIO CLARO;A903;-13.45388888;-56.67722221;339.59;25/02/03
2020/02/13;1700 UTC;;958.5;959.1;958.3;2362.6;29.6;19.3;30.7;29.3;21.2;18.9;59.0;51.0;54.0;151.0;5.9;3.3;NE;PE;OURICURI;A366;-7.88583333;-40.10277777;457.85;11/08/10
2021/10/05;1700 UTC;0;952.1;953.2;952.1;3158.8;36.9;9;38;36.3;10.9;8.6;20.0;17.0;18.0;160.0;4.9;2.1;SE;MG;PIRAPORA;A545;-17.258064;-44.835556;505.32;04/07/07
2022/03/27;1700 UTC;0;970.2;970.7;970.2;3477.2;24.7;14.4;25.5;24.1;16.7;14.3;61.0;50.0;53.0;230.0;4.2;1.5;S;RS;SANTIAGO;A833;-29.191599;-54.885653;390.03;04/02/09
2021/11/06;0400 UTC;0;962.6;962.9;962.6;;24.6;16.8;24.9;22.3;18.3;16.8;76.0;62.0;62.0;192.0;6.9;2.5;SE;SP;JOSE BONIFACIO;A735;-21.08555555;-49.92027777;408.35;03/09/07
2020/10/15;0900 UTC;0;972.4;972.6;971.8;;20.5;17.2;20.9;20.5;17.3;17.1;82.0;79.0;81.0;47.0;5.8;2.7;S;PR;CIDADE GAUCHA;A869;-23.359156;-52.931912;365.79;11/03/08
2020/12/14;1900 UTC;0;970.1;970.6;970.1;1627.1;34;4.2;34.3;33.4;4.3;3.7;16.0;15.0;16.0;165.0;.2;0;NE;PE;CABROBO;A329;-8.504;-39.31528;342.74;04/09/07
2020/11/16;1900 UTC;;;;;;;;;;;;;;;;;;N;PA;ITAITUBA;A231;-4.27694443;-55.99305555;24.46;17/02/08
2020/04/16;0600 UTC;0;930.9;931;930.8;;5.8;5.3;6.9;5.8;5.8;5.2;96.0;92.0;96.0;;;;S;SC;JOACABA;A841;-27.16916666;-51.55888888;767.63;20/09/07
2020/10/08;1800 UTC;0;1012.3;1012.3;1011.5;651.6;26.5;22.4;27.4;26.5;22.4;22;78.0;72.0;78.0;42.0;7.7;2.3;SE;ES;VITORIA;A612;-20.27083332;-40.30583333;9;31/10/06
2021/10/03;1300 UTC;;932.3;932.5;932.3;2760.2;27.9;19.4;28;25.3;19.9;18.8;70.0;59.0;60.0;282.0;0;0;N;TO;DIANOPOLIS;A038;-11.59444444;-46.84722221;727.87;30/08/08
2020/11/16;0200 UTC;0;1008;1008.6;1008;;25.6;23.8;25.9;25.5;24.3;23.8;91.0;90.0;90.0;87.0;8.2;3.6;NE;BA;CONDE;A431;-12.035833;-37.683889;31.9;07/04/08
2022/04/12;1400 UTC;1.2;904.3;904.7;904.3;951.9;22.4;19.4;22.4;21.2;19.6;18.9;88.0;82.0;83;45.0;6.5;2.5;CO;GO;LUZIANIA;A012;-16.26055555;-47.96694443;1000.82;21/10/06
2020/08/14;1100 UTC;0;990.8;990.8;989.9;585.4;23.3;17.5;23.3;15.4;17.5;14.7;97.0;69.0;70.0;98.0;2.4;1.4;N;TO;PIUM;A051;-10.476944;-49.629475;161;06/04/16
2021/09/20;0900 UTC;;;;;;;;;;;;;;;;;;SE;MG;JANUARIA;A559;-15.448089;-44.366313;468;23/06/16
2021/07/31;1100 UTC;0;1010.9;1010.9;1010.1;739.8;25.4;23.9;25.5;24;24.2;23;94.0;91.0;91.0;118.0;0;0;N;PA;CASTANHAL;A202;-1.30083333;-47.94805555;47.13;24/01/03
2020/06/04;0200 UTC;0;1014.1;1014.1;1013.8;;8.2;6.8;9.3;8.1;7.2;6.6;91.0;87.0;91.0;150.0;6.4;3.1;S;RS;URUGUAIANA;A809;-29.83987;-57.081899;74.29;28/09/06
2021/11/23;2300 UTC;;;;;;;;;;;;;;;;;;S;SC;ARARANGUA;A867;-28.931353;-49.49792;2;28/09/08
2021/02/25;0400 UTC;;;;;;;;;;;;;;;;;;S;RS;MOSTARDAS;A878;-31.24833333;-50.90638888;3.82;11/03/08
2021/03/22;0400 UTC;;;;;;;;;;;;;;;;;;NE;BA;DELFINO;A443;-10.455;-41.20694444;646.24;15/07/08
2021/12/21;0500 UTC;;;;;;;;;;;;;;;;;;CO;MS;ARAL MOREIRA;S702;-22.955;-55.6261111;605;13/04/18
2022/01/31;0100 UTC;;;;;;;;;;;;;;;;;;NE;RN;CALCANHAR;A344;-5.16;-35.48749999;9.82;08/05/08
2020/07/07;0300 UTC;0;;;;180.3;24.9;22.5;24.9;24.8;22.6;22.4;88.0;87.0;87.0;83.0;2.9;0;N;PA;BRAGANCA;A226;-1.04722221;-46.78583333;41;11/03/08
2022/11/09;1400 UTC;;;;;;;;;;;;;;;;;;N;PA;MONTE ALEGRE;A239;-2;-54.07638888;100.53;06/07/12
2021/05/07;1300 UTC;;;;;;;;;;;;;;;;;;S;PR;JAPIRA;A871;-23.77333332;-50.18055554;692.88;29/02/08
2020/11/19;2100 UTC;.2;948.1;948.2;947.9;47.2;21.6;21.2;21.6;21.3;21.3;21;99.0;98.0;98.0;7.0;3.3;1.9;SE;MG;JANAUBA;A563;-15.80277777;-43.29694444;532;19/11/16
2022/03/14;1000 UTC;0;1008.9;1008.9;1008.3;331.9;24.3;22;24.3;21.9;23;21.6;99.0;87.0;87.0;326.0;2.4;1.4;SE;ES;VILA VELHA;A634;-20.46694443;-40.40388888;25;15/02/17
2020/12/26;1200 UTC;0;987.5;987.5;986.4;472.7;24.3;;24.4;23.9;;;;;;40.0;3.2;1.9;N;PA;REDENCAO;A254;-8.04333333;-50.00694444;199;11/07/19
2020/09/09;1300 UTC;0;1010;1010;1009.5;1672.4;29.7;25;29.7;27.9;25.2;24.4;84.0;76.0;76.0;343.0;0;0;N;AM;AUTAZES;A120;-3.583333;-59.12944;19.9;17/04/08
2021/09/27;0800 UTC;;932.5;932.6;932.4;0;20.9;17.4;21;20.3;17.8;17.3;85.0;80.0;81.0;91.0;0;0;N;TO;DIANOPOLIS;A038;-11.59444444;-46.84722221;727.87;30/08/08
2021/05/09;2300 UTC;0;1022.7;1022.7;1022.3;;18.2;16.9;18.9;18.2;17.6;16.9;93.0;92.0;92.0;253.0;2.6;1.3;SE;RJ;SAQUAREMA - SAMPAIO CORREIA;A667;-22.8711111;-42.60888888;26;02/09/15
2020/05/25;0400 UTC;0;968.4;969;968.4;;23.6;18.5;24;23.4;18.7;18.3;73.0;72.0;73.0;61.0;3.5;1.5;NE;BA;BARRA;A429;-11.08472221;-43.13888888;407.5;12/05/08
2021/03/08;0900 UTC;0;1007.8;1007.8;1007.3;4.9;22.8;21.8;23.1;22.8;22;21.8;94.0;93.0;94.0;72.0;2.4;.7;SE;RJ;RIO DE JANEIRO - FORTE DE COPACABANA;A652;-22.98833333;-43.19055555;25.59;18/05/07
2020/06/06;1100 UTC;0;972.4;972.4;971.5;545.8;25;17.7;25;24.1;18;17.3;68.0;64.0;64.0;147.0;5.4;3.1;NE;BA;REMANSO;A423;-9.62555554;-42.07722221;397.4;26/03/08
2021/03/08;0800 UTC;;;;;;;;;;;;;;;;;;N;AC;EPITACIOLANDIA;A140;-11.02388888;-68.73527777;224.5;25/09/09
2020/04/14;2000 UTC;;;;;;;;;;;;;;;;;;CO;MS;PARANAIBA;A710;-19.695517;-51.181769;408.06;10/11/06
2022/03/07;0500 UTC;;;;;;;;;;;;;;;;;;N;AM;BOCA DO ACRE;A110;-8.77666666;-67.33249999;111.98;15/07/08
2021/08/10;1000 UTC;0;1000;1000;999.4;263.9;21;17.1;21.1;20.1;17.2;16.2;79.0;78.0;78.0;94.0;1.8;1;SE;MG;ALMENARA;A508;-16.166773;-40.687756;189.11;15/12/02
2022/07/05;0200 UTC;;;;;;;;;;;;;;;;;;SE;MG;BURITIS;A544;-15.52416666;-46.43555555;894;19/06/07
2021/08/14;0600 UTC;;;;;;;;;;;;;;;;;;SE;MG;JANAUBA;A563;-15.80277777;-43.29694444;532;19/11/16
2020/07/13;0400 UTC;;;;;;;;;;;;;;;;;;SE;RJ;SAQUAREMA - SAMPAIO CORREIA;A667;-22.8711111;-42.60888888;26;02/09/15
2022/03/08;1300 UTC;0;949.2;949.6;949.2;2643.4;28.6;18;29.1;26.5;19.9;18;65.0;53.0;53.0;42.0;5.3;3;SE;SP;TAUBATE;A728;-23.04166666;-45.52083332;582.26;20/12/06
2021/07/28;1100 UTC;;;;;;;;;;;;;;;;;;CO;MS;BONITO;S704;-21.24666666;-56.45055555;329;06/08/18
2020/02/04;1200 UTC;0;1015.4;1015.4;1014.8;1794;29.3;22.7;30.5;29;23.5;22.4;69.0;64.0;67.0;68.0;5.8;2.8;NE;BA;MARAU;A438;-13.90694;-38.97222;6.24;22/06/08
2022/08/12;0600 UTC;;;;;;;;;;;;;;;;;;NE;RN;CAICO;A316;-6.46749999;-37.08499999;171.26;07/01/07
2022/04/08;0800 UTC;;;;;;;;;;;;;;;;;;NE;PE;OURICURI;A366;-7.88583333;-40.10277777;457.85;11/08/10
2021/07/12;0000 UTC;0;912.5;912.5;911.9;;16;4.4;18;15.7;4.9;4;48.0;40.0;46.0;135.0;3.2;.8;SE;MG;PATOS DE MINAS;A562;-18.52055554;-46.44055555;950;12/05/17
2021/04/29;2000 UTC;0.0;988.2;988.4;988.2;;23.4;23.4;24.7;22.9;24.6;22.9;100.0;100.0;100.0;360.0;6.4;1.6;NE;AL;ARAPIRACA;A353;-9.80444444;-36.61916666;236.84;27/04/08
2021/11/21;1600 UTC;;;;;;;;;;;;;;;;;;NE;PE;GARANHUNS;A322;-8.91083333;-36.49333333;827.78;08/07/07
2020/01/03;1200 UTC;0;987.7;987.9;987.6;1285.3;28.9;19.7;28.9;27.7;20.9;19.4;65.0;57.0;57.0;100.0;7.5;4.2;NE;CE;QUIXERAMOBIM;A325;-5.174568;-39.289393;221.04;09/07/07
2021/04/21;2200 UTC;;;;;;;;;;;;;;;;;;NE;PI;GILBUES;A364;-9.87527777;-45.34583333;425.1;16/05/09
2022/05/29;0500 UTC;0;945.6;945.9;945.6;;21.8;18;23;21.6;18;17.3;79.0;73.0;79.0;;;;N;RO;VILHENA;A938;-12.73499999;-60.15777777;583.3;26/08/08
2021/07/28;0000 UTC;;;;;;;;;;;;;;;;;;NE;PB;JOAO PESSOA;A320;-7.16527777;-34.81555555;33.5;21/07/07
2021/09/04;1800 UTC;;;;;;;;;;;;;;;;;;NE;BA;BARRA;A429;-11.08472221;-43.13888888;407.5;12/05/08
2022/08/05;2300 UTC;0;934;934;933.1;;16.5;13.3;17.8;16.5;14;13.3;83.0;76.0;81.0;;;;SE;ES;VENDA NOVA DO IMIGRANTE;A633;-20.38555555;-41.18999999;722;10/02/17
2022/04/16;1200 UTC;0;1007.4;1007.4;1006.9;1747.1;27.4;24.2;27.6;25.7;24.8;24.1;92.0;83.0;83.0;;;;NE;MA;ZE DOCA;A255;-3.26916666;-45.65111111;45.5;18/09/19
2022/12/12;2200 UTC;0;941.9;942;941.6;5.3;24.5;22.3;25.5;24.5;22.9;22.3;88.0;85.0;88.0;241.0;1.2;0;SE;RJ;SANTA MARIA MADALENA;A630;-21.95055555;-42.01027777;517;16/10/18
2021/11/03;1700 UTC;0;963.3;964.8;963.3;3341;33;19.9;33.3;32.3;20.9;19.6;49.0;46.0;46.0;26.0;5.1;1.8;CO;MS;NOVA ALVORADA DO SUL;S712;-21.450972;-54.341972;5;23/02/18
2020/07/09;0500 UTC;0;982.4;983;982.4;;16.8;13.7;17.1;15.8;13.9;13.3;86.0;81.0;82.0;163.0;0;0;N;TO;PARANA;A010;-12.615;-47.87194443;284.96;04/03/05
2020/06/01;0300 UTC;0;972.9;973;972.8;;22.4;17.7;23.3;22.3;17.7;17.6;75.0;71.0;75.0;49.0;4;1.7;CO;MT;SINOP;A917;-11.98222221;-55.56611111;366.57;29/10/06
2022/12/07;0900 UTC;0;969.1;969.1;968.8;33.5;22.3;22.3;22.3;22.1;22.3;22.1;100.0;100.0;100.0;5.0;2.5;1;SE;SP;DRACENA;A762;-21.45777777;-51.55222222;720;03/11/16
2021/04/24;2200 UTC;0;942.5;942.5;941.8;0;21.5;12;23.7;21.4;12.1;11.1;55.0;47.0;55.0;300.0;2.4;1.3;SE;SP;SAO SIMAO;A770;-21.46111111;-47.57944443;620;03/07/19
2020/11/10;1100 UTC;0;972.2;972.3;971.5;666.3;20.9;19.6;21;19.8;19.7;18.8;94.0;92.0;92.0;236.0;.8;.1;CO;MT;JUINA;A920;-11.375126;-58.774785;365.39;24/11/06
2022/07/06;0500 UTC;0;1016.5;1016.9;1016.5;;14.9;13.6;15.3;14.9;13.9;13.5;92.0;91.0;92.0;261.0;1.4;0;SE;RJ;RIO DE JANEIRO - JACAREPAGUA;A636;-22.93999999;-43.40277777;20;10/08/17
2021/12/19;0700 UTC;.2;1010.8;1010.8;1010.5;;20.7;19.9;20.9;20.6;20.1;19.7;95.0;95.0;95.0;255.0;3;1;SE;RJ;MACAE;A608;-22.3761111;-41.81194444;28;22/09/06
2020/07/07;0800 UTC;;946.4;946.5;946.4;;11.6;9.5;11.8;10.9;9.9;9;89.0;87.0;87.0;174.0;2.1;1.4;SE;SP;ITUVERAVA;A753;-20.35972222;-47.77527777;610.58;17/07/08
2021/12/27;0200 UTC;;;;;;;;;;;;;;;;;;S;SC;INDAIAL;A817;-26.91361111;-49.26805554;72.24;02/07/06
2020/04/07;2300 UTC;;;;;;;;;;;;;;;;;;CO;MS;PARANAIBA;A710;-19.695517;-51.181769;408.06;10/11/06
2021/10/14;1800 UTC;;;;;;;;;;;;;;;;;;N;AM;BARCELOS;A128;-.98722221;-62.92416666;29.88;19/04/08
2022/12/01;2200 UTC;0;979.7;979.7;978.8;1.2;22.9;21.3;23.1;22.9;22.1;21.2;95.0;90.0;90.0;99.0;3.2;1.6;NE;BA;ITAPETINGA;A446;-15.24472221;-40.22944443;271.48;25/06/09
2020/08/15;0600 UTC;;;;;;;;;;;;;;;;;;CO;GO;PORANGATU;A005;-13.309528;-49.117478;365;04/06/01
2021/11/02;1700 UTC;0;921.8;922.9;921.8;2774.8;28.6;15.5;29.3;27.8;17.6;14;50.0;41.0;45.0;238.0;6.2;1.9;SE;MG;PASSOS;A516;-20.745237;-46.633916;781.7;16/07/06
2021/08/08;1600 UTC;;;;;;;;;;;;;;;;;;N;PA;TUCURUI;A229;-3.82277777;-49.67499999;137.94;01/03/08
